ISSN,Volume_Start,Year_Start,Volume_End,Year_End,Issue_Start,Issue_End,Supplement,Signature,Annotation
0365-7000,13,1884,28,1900,,,No,,
0365-7000,30,1909,36,1914,,,No,,
0365-7000,,,,,1,,No,,
,30,1911,35,1915,,,No,,
0001-4842,1,1968,11,1978,,,No,,
0001-4842,16,1983,,,,,No,,
0001-4842,17,1984,,,,,No,,
0001-4842,,,,,1,3,No,,
0001-5113,1,1932,36,1995,,,No,,
0001-5113,38,1997,43,2002,,,No,,
0001-5113,44,2003,,,,,No,,
0001-5113,45,2004,,,,,No,,
0001-5113,46,2005,,,,,No,,
0001-5113,47,2006,,,,,No,,
0001-5113,49,2008,59,2018,,,No,,
0001-5113,60,2019,,,,,No,,
0001-5113,61,2020,,,,,No,,
0001-5113,36,1995,,,,,No,,
0001-5113,38,1997,,,,,No,,
0001-5113,39,1998,43,2002,,,No,,
0001-5113,44,2003,62,2021,,,No,,
0001-5113,63,2022,,,,,No,,
0351-7101,2,1983,4,1987,,,No,,
0351-7101,6,1993,,,,,No,,
0350-5901,1,1976,9,1984,,,No,,
0350-5901,11,1986,,,,,No,,
0350-5901,12,1987,15,1990,,,No,,
0350-5901,2,1977,8,1983,,,No,,
0350-5901,11,1985,15,1990,,,No,,
0350-5901,,,,,1,,No,,
0350-5901,,,,,2,,No,,
0021-3225,1,1965,,,,,No,,
0021-3225,2,1966,8,1972,,,No,,
0021-3225,9,1973,,,,,No,,
0021-3225,10,1974,,,,,No,,
0021-3225,,,,,1,3,No,,
0021-3225,,,,,1,2,No,,
0021-3225,,,,,1,,No,,
0531-9110,1,1966,24,1989,,,No,,
0531-9110,31,1996,,,,,No,,
0531-9110,37,2002,38,2003,,,No,,
0531-9110,,,,,2,,No,,
0534-0012,1,1969,,,,,No,,
0534-0012,2,1970,11,1979,,,No,,
0534-0012,29,1997,,,,,No,,
0534-0012,31,1999,,,,,No,,
0534-0012,35,2003,,,,,No,,
0534-0012,36,2004,,,,,No,,
0534-0012,37,2005,,,,,No,,
0534-0012,,,,,1,,No,,
0365-0588,13,1949,15,1956,,,No,,
0365-0588,16,1957,,,,,No,,
0365-0588,19,1960,,,,,No,,
0365-0588,23,1964,29,1970,,,No,,
0365-0588,31,1972,34,1975,,,No,,
0365-0588,36,1977,37,1978,,,No,,
0365-0588,39,1980,48,1989,,,No,,
0365-0588,53,1994,54,1995,,,No,,
0365-0588,56,1998,61,2002,,,No,,
0001-5369,38,1947,144,1990,,,No,,
0001-5393,12,1958,27,1973,,,No,,od vol. 28 (1974) dijeli se u:	Acta Chemica Scandinavica A i| 					Acta Chemica Scandinavica B
0365-110X,1,1948,23,1967,,,No,,"od vol. 24 (1968) izlazi kao: | 	Acta Crystallographica, Section A: Crystal Physics, Diffraction, Theoretical and General Crystallography  i | 	Acta Crystallographica, Section B: Structural Crystallography and Crystal Chemistry."
,15,1997,,,,,No,,
,,,,,18,20,No,,
,22,2004,,,,,No,,
,,,,,36,,No,,
,24,2006,,,,,No,,
,,,,,40,,No,,
0350-1167,16,1990,22,1996,,,No,,
0350-1167,24,1998,,,,,No,,
1330-0164,56,2002,,,,,No,,
1330-0164,57,2003,,,,,No,,
1330-0164,,,,,1,4,No,,
0001-6160,1,1953,22,1974,,,No,,
0001-6160,,,,,1,3,No,,
0583-4988,1,1953,29,1988,,,No,,
0001-6667,22,1972,39,1989,,,No,,od vol. 42 (1992) izlazi kao: Acta Pharmaceutica
0001-6667,40,1990,41,1991,,,No,,od vol. 42 (1992) izlazi kao: Acta Pharmaceutica
0001-6713,1,1947,53,1981,,,No,,
0001-6713,55,1983,57,1985,,,No,,
0065-1559,1,1964,23,1981,,,No,,
0065-1559,25,1983,27,1985,,,No,,
0001-673X,12,1953,,,,,No,,"od 1970. izlazi kao: Acta Physica Polonica, Section A i 	Acta Physica Polonica, Section B"
0001-673X,13,1954,33,1968,,,No,,"od 1970. izlazi kao: Acta Physica Polonica, Section A i 	Acta Physica Polonica, Section B"
0001-673X,34,1968,,,,,No,,"od 1970. izlazi kao: Acta Physica Polonica, Section A i 	Acta Physica Polonica, Section B"
0001-673X,35,1969,36,1969,,,No,,"od 1970. izlazi kao: Acta Physica Polonica, Section A i 	Acta Physica Polonica, Section B"
0323-0465,23,1973,,,,,No,,
0323-0465,24,1974,41,1991,,,No,,
0323-0465,42,1992,,,,,No,,
0323-0465,43,1993,,,,,No,,
0323-0465,,,,,2,4,No,,
0001-6764,1,1950,16,1966,,,No,,
0001-6772,42,1958,74,1968,,,No,,
0302-2994,146,1958,318,1968,,,No,,
,151,2014,155,2018,,,No,,
0001-7299,187,1990,,,,,No,,
0935-9648,9,1997,11,1999,,,No,,
0935-9648,13,2001,,,,,No,,
0935-9648,14,2002,,,,,No,,
0935-9648,15,2003,,,,,No,,
0935-9648,,,,,1,21,No,,
0935-9648,,,,,1,7,No,,
1057-9257,9,1999,10,2000,,,No,,od vol. 11 (2001) izlazi kao: Advanced Functional Materials
,1,1960,11,1973,,,No,04.41/154,
,1,1965,4,1968,,,No,02.51/74,
,14,1978,,,,,No,02.51/74,
,21,1985,,,,,No,02.51/74,
,4,1956,17,1980,,,No,05.31/108,
,1,1953,2,1954,,,No,05.53/20,
,4,1956,31,1979,,,No,05.53/20,
,34,1981,37,1981,,,No,05.53/20,
,44,1985,,,,,No,05.53/20,
,47,1986,,,,,No,05.53/20,
,49,1987,,,,,No,05.53/20,
,1,1945,39,1981,,,No,04.51/4,
,1,1948,19,1969,,,No,04.21/111,
,21,1970,28,1979,,,No,04.21/111,
,30,1981,31,1982,,,No,04.21/111,
,1,1958,11,1967,,,No,04.21/113,
,13,1967,36,1977,,,No,04.21/113,
,38,1978,49,1982,,,No,04.21/113,
,62,1985,63,1985,,,No,04.21/113,
0001-8686,1,1967,,,,,No,,
0001-8686,74,1998,,,,,No,,
,1,1961,12,1981,,,No,04.23/1,
,1,1948,7,1955,,,No,03.11/22,
,9,1957,27,1969,,,No,03.11/22,
,29,1970,32,1973,,,No,03.11/22,
,34,1973,39,1975,,,No,03.11/22,
,41,1976,58,1982,,,No,03.11/22,
,63,1985,67,1986,,,No,03.11/22,
,1,1963,3,1968,,,No,03.11/22,
,5,1968,,,,,No,03.11/22,
,9,1977,11,1979,,,No,03.11/22,
,14,1981,17,1986,,,No,03.11/22,
,1,1941,31,1968,,,No,05.33/7,
,33,1970,53,1982,,,No,05.33/7,
,57,1985,,,,,No,05.33/7,
,60,1987,61,1988,,,No,05.33/7,
,1,1960,6,1970,,,No,04.31/4,
8755-9668,2,1986,,,,,No,,od vol. 3 (1987) izlazi kao: Free Radicals Biology and Medicine
8755-9668,,,,,1,2,No,,od vol. 3 (1987) izlazi kao: Free Radicals Biology and Medicine
,9,1958,13,1965,,,No,05.25/12,
,1,1961,,,,,No,05.52/119,
,3,1963,5,1965,,,No,05.52/119,
,7,1967,9,1968,,,No,05.52/119,
,11,1969,32,1982,,,No,05.52/119,
,37,1985,39,1987,,,No,05.52/119,
,1,1975,5,1978,,,No,04.42/216,
,1,1959,24,1981,,,No,04.31/2,
,29,1985,30,1986,,,No,04.31/2,
1106-2830,24,2000,27,2004,,,No,,obrađuje se kao knjiga
,1,1965,4,1968,,,No,04.42/34,
,6,1973,9,1977,,,No,04.42/34,
,11,1983,,,,,No,04.42/34,
,1,1976,,,,,No,04.42/34,
0065-2881,1,1963,19,1982,,,No,24-14/11,
,2,1969,3,1969,,,No,02.41/209,
,15,1985,18,1987,,,No,02.41/209,
,1,1960,6,1969,,,No,04.51/5,
,8,1972,,,,,No,04.51/5,
,1,1964,19,1981,,,No,04.51/171,
,24,1985,26,1986,,,No,04.51/171,
,1,1963,2,1964,,,No,04.61/26,
,4,1966,14,1982,,,No,04.61/26,
,1,1963,18,1982,,,No,04.52/1,
,21,1985,,,,,No,04.52/1,
0001-8732,1,1952,30,1981,,,No,,
0001-8732,32,1983,,,,,No,,
0001-8732,34,1985,44,1995,,,No,,
0001-8732,45,1996,55,2006,,,No,,
0065-3195,7,1970,10,1972,,,No,04.72/63,
0065-3195,22,1977,,,,,No,04.72/63,
0065-3195,26,1978,,,,,No,04.72/63,
0065-3195,29,1978,,,,,No,04.72/63,
0065-3195,31,1979,,,,,No,04.72/63,
0065-3195,33,1979,,,,,No,04.72/63,
0065-3195,36,1980,,,,,No,04.72/63,
0065-3195,43,1982,,,,,No,04.72/63,
0065-3195,80,1986,,,,,No,04.72/63,
,12,1957,34,1981,,,No,05.33/32,
,37,1985,,,,,No,05.33/32,
,1,1964,2,1965,,,No,04.25/1,
,4,1967,11,1978,,,No,04.25/1,
,13,1981,18,1986,,,No,04.25/1,
,1,1964,5,1975,,,No,05.55/66,
,7,1975,8,1975,,,No,05.55/66,
,12,1976,,,,,No,05.55/66,
,1,1969,4,1975,,,No,04.61/6,
,1,1997,,,,,No,,
,4,2000,,,,,No,,
,5,2001,,,,,No,,
,6,2002,,,,,No,,
,7,2003,,,,,No,,
,8,2004,,,,,No,,
,,,,,1,,No,,
,,,,,1,5,No,,
,1,1953,26,1981,,,No,05.41/26,
,1,1957,10,1967,,,No,04.71/1,
,22,1979,23,1980,,,No,04.71/1,
,28,1985,30,1987,,,No,04.71/1,
0097-2452,35,1958,64,1963,,,No,,od 1963. izlazi kao: IEEE Transaction on Communication and Electronics|Part II - Applications and Industry|35 (1958) – 64 (1963) 					|*od 1963. izlazi kao: IEEE Transaction on Applications and Industry|Part III - Power Apparatus and Systems|35 (1958) - 64 (1963) 					|*od 1963. izlazi kao: IEEE Transaction on Power Apparatus and Systems
,1,1971,,,,,No,04.51/390,
0044-7447,7,1978,11,1982,,,No,,
0044-7447,15,1986,,,,,No,,
0044-7447,,,,,1,,No,,
,59,1980,87,2007,,,No,,
,,,,,1,3,No,,
0002-9440,140,1992,,,,,No,,
0002-9440,142,1993,,,,,No,,
0002-9440,147,1995,,,,,No,,
0002-9440,148,1996,,,,,No,,
0002-9440,149,1996,,,,,No,,
0002-9440,151,1997,152,1998,,,No,,
0002-9440,153,1998,154,1999,,,No,,
0002-9440,155,1999,166,2005,,,No,,
0002-9440,,,,,1,,No,,
0002-9440,,,,,1,,No,,
0002-9440,,,,,1,5,No,,
0002-9440,,,,,1,2,No,,
0002-9505,17,1949,,,,,No,,
0002-9505,19,1951,45,1977,,,No,,
0002-9505,46,1978,,,,,No,,
0002-9505,47,1979,58,1990,,,No,,
0002-9505,59,1991,,,,,No,,
0002-9505,60,1992,61,1993,,,No,,
0002-9505,62,1994,63,1995,,,No,,
0002-9505,64,1996,66,1998,,,No,,
0002-9505,67,1999,,,,,No,,
0002-9505,68,2000,73,2005,,,No,,
0002-9505,,,,,1,4,No,,
0002-9505,,,,,1,,No,,
0002-9505,,,,,1,3,No,,
0002-9505,,,,,1,11,No,,
0002-9505,,,,,1,,No,,
0002-9505,,,,,1,4,No,,
0002-9505,,,,,1,6,No,,
0002-9513,192,1958,227,1974,,,No,,
0003-0147,112,1978,,,,,No,,
0003-0147,113,1979,,,,,No,,
0003-0147,114,1979,,,,,No,,
0003-0147,,,,,983,988,No,,
0003-0147,,,,,1,6,No,,
0003-0147,,,,,1,6,No,,
0939-4451,10,1996,,,,,No,,
0939-4451,11,1996,17,1999,,,No,,
0939-4451,20,2001,27,2004,,,No,,
0939-4451,,,,,2,,No,,
,1,1968,7,1974,,,No,05.33/60,
0185-3287,1,1974,8,1981,,,No,,od (1981) mijenja naslov u : Anales del Instituto de ciencias del mar y imnologia
0003-2670,1,1947,227,1989,,,No,,
0003-2670,228,1990,243,1991,,,No,,
0003-2670,244,1991,557,2006,,,No,,
0003-2697,1,1960,100,1979,,,No,,
0003-2697,103,1980,,,,,No,,
0003-2697,104,1980,183,1989,,,No,,
0003-2697,184,1990,246,1997,,,No,,
0003-2697,247,1997,251,1997,,,No,,
0003-2697,252,1997,325,2004,,,No,,
0003-2697,,,,,1,,No,,
0003-2697,,,,,1,,No,,
0003-2700,23,1951,,,,,No,,
0003-2700,28,1956,49,1977,,,No,,
0003-2700,50,1978,52,1980,,,No,,
0003-2700,53,1981,61,1989,,,No,,
0003-2700,62,1990,78,2006,,,No,,
0003-2700,79,2007,81,2009,,,No,,
0003-2700,,,,,1,9,No,,
0003-2700,,,,,1,3,No,,
0003-2700,,,,,1,4,No,,
0003-2786,7,1892,25,1904,,,No,,
0003-2786,31,1907,39,1911,,,No,,
,11,1972,16,1977,,,No,,
,17,1978,,,,,No,,
,21,1982,,,,,No,,
,23,1984,,,,,No,,
,24,1985,,,,,No,,
,25,1986,,,,,No,,
,26,1987,,,,,No,,
,27,1988,,,,,No,,
,28,1989,,,,,No,,
,29,1990,46,2007,,,No,,
,48,2009,51,2012,,,No,,
,52,2013,,,,,No,,
,53,2014,,,,,No,,
,,,,,1,,No,,
,,,,,1,4,No,,
,,,,,1,4,No,,
,,,,,1,6,No,,
,,,,,1,4,No,,
0391-7746,1,1974,5,1978,,,No,,
0075-4617,557,1947,776,1972,,,No,,"od 1979. godine izlazi kao: Liebigs Annalen der Chemie, ISSN 0170-2041"
0003-3804,64,1921,66,1921,,,No,,
0003-3804,1,1947,,,,,No,,
0003-3804,12,1953,20,1957,,,No,,
0003-3804,1,1958,39,1982,,,No,,
,55,1944,83,1979,,,No,,
0255-0091,84,1980,85,1981,,,No,,
0255-0091,87,1983,90,1986,,,No,,
0255-0091,92,1988,98,1996,,,No,,
0255-0091,100,1998,117,2015,,,No,,
0255-0105,84,1980,85,1981,,,No,,
0255-0105,87,1983,90,1986,,,No,,
0255-0105,92,1988,93,1989,,,No,,
0255-0105,96,1994,117,2015,,,No,,
0365-320X,1,1931,4,1934,,,No,,od 1964. izlazi u dvije sekcije: Section A – Physique théorique i | 				   Section B – Calcul des probabillités
0365-320X,5,1935,,,,,No,,od 1964. izlazi u dvije sekcije: Section A – Physique théorique i | 				   Section B – Calcul des probabillités
0365-320X,6,1936,,,,,No,,od 1964. izlazi u dvije sekcije: Section A – Physique théorique i | 				   Section B – Calcul des probabillités
0365-320X,10,1946,,,,,No,,od 1964. izlazi u dvije sekcije: Section A – Physique théorique i | 				   Section B – Calcul des probabillités
0365-320X,11,1949,,,,,No,,od 1964. izlazi u dvije sekcije: Section A – Physique théorique i | 				   Section B – Calcul des probabillités
0020-2444,96,1959,116,1969,,,No,,
0020-2444,,,,,1,,No,,
0078-9682,1,1909,7,1917,,,No,,
0078-9682,12,1932,14,1934,,,No,,
0078-9682,15,1935,,,,,No,,
,41,1964,,,,,No,,
,55,1979,72,1996,,,No,,
,74,1998,,,,,No,,
0003-4169,3,1948,4,1949,,,No,,"od vol. 4 (1979) gubi se numeracija serije|5 (1980) – 10 (1985) |coll. 1-3    uz vol. 11 (1986)|coll. 1-2    uz vol. 12 (1987)|13 (1988) + coll. 1-3|14 (1989) No. 1-5,...  + coll. 1-2|15 (1990) + coll. 1-3|16 (1991) + coll. 1-2 |17 (1992) + coll. 1|18 (1993) – 20 (1995) + coll. 1-3				|21 (1996) – 22 (1997) + coll. 1-2				|23 (1998) + coll. 1|24 (1999) – 29 (2004)"
0003-4169,6,1951,10,1955,,,No,,"od vol. 4 (1979) gubi se numeracija serije|5 (1980) – 10 (1985) |coll. 1-3    uz vol. 11 (1986)|coll. 1-2    uz vol. 12 (1987)|13 (1988) + coll. 1-3|14 (1989) No. 1-5,...  + coll. 1-2|15 (1990) + coll. 1-3|16 (1991) + coll. 1-2 |17 (1992) + coll. 1|18 (1993) – 20 (1995) + coll. 1-3				|21 (1996) – 22 (1997) + coll. 1-2				|23 (1998) + coll. 1|24 (1999) – 29 (2004)"
0003-4169,1,1956,10,1965,,,No,,"od vol. 4 (1979) gubi se numeracija serije|5 (1980) – 10 (1985) |coll. 1-3    uz vol. 11 (1986)|coll. 1-2    uz vol. 12 (1987)|13 (1988) + coll. 1-3|14 (1989) No. 1-5,...  + coll. 1-2|15 (1990) + coll. 1-3|16 (1991) + coll. 1-2 |17 (1992) + coll. 1|18 (1993) – 20 (1995) + coll. 1-3				|21 (1996) – 22 (1997) + coll. 1-2				|23 (1998) + coll. 1|24 (1999) – 29 (2004)"
0003-4169,1,1966,9,1975,,,No,,"od vol. 4 (1979) gubi se numeracija serije|5 (1980) – 10 (1985) |coll. 1-3    uz vol. 11 (1986)|coll. 1-2    uz vol. 12 (1987)|13 (1988) + coll. 1-3|14 (1989) No. 1-5,...  + coll. 1-2|15 (1990) + coll. 1-3|16 (1991) + coll. 1-2 |17 (1992) + coll. 1|18 (1993) – 20 (1995) + coll. 1-3				|21 (1996) – 22 (1997) + coll. 1-2				|23 (1998) + coll. 1|24 (1999) – 29 (2004)"
0003-4169,2,1977,4,1979,,,No,,"od vol. 4 (1979) gubi se numeracija serije|5 (1980) – 10 (1985) |coll. 1-3    uz vol. 11 (1986)|coll. 1-2    uz vol. 12 (1987)|13 (1988) + coll. 1-3|14 (1989) No. 1-5,...  + coll. 1-2|15 (1990) + coll. 1-3|16 (1991) + coll. 1-2 |17 (1992) + coll. 1|18 (1993) – 20 (1995) + coll. 1-3				|21 (1996) – 22 (1997) + coll. 1-2				|23 (1998) + coll. 1|24 (1999) – 29 (2004)"
0365-5008,18,1963,,,,,No,,
0365-5008,19,1964,23,1968,,,No,,
0365-5008,,,,,72,74,No,,
,1,1883,,,,,No,,
0521-4726,7,1956,8,1957,,,No,,
0521-4726,50,1958,,,,,No,,
0521-4726,79,1987,,,,,No,,
0521-4726,94,2002,,,,,No,,
0521-4726,97,2005,101,2009,,,No,,
0521-4726,104,2012,,,,,No,,
0365-3005,26,1959,39,1972,,,No,,
0365-3005,50,1973,,,,,No,,
0365-3005,53,1975,55,1977,,,No,,
0302-1033,1,1973,3,1977,,,No,,
0302-1033,5,1982,,,,,No,,
0302-1033,7,1986,10,1999,,,No,,
,1,1925,15,1966,,,No,,
0003-4541,28,1970,,,,,No,,
0003-4541,31,1971,,,,,No,,
0003-4541,,,,,1,8,No,,
0003-4592,82,1992,,,,,No,,
0003-4592,83,1993,88,1998,,,No,,
0003-4592,89,1999,91,2001,,,No,,
0003-4592,92,2002,94,2004,,,No,,
0003-4592,95,2005,97,2007,,,No,,
0003-4592,,,,,1,4,No,,
0003-4592,,,,,1,4,No,,
1720-6367,12,1964,19,1971,,,No,,
0003-4916,1,1957,144,1982,,,No,,
0003-4916,152,1984,204,1990,,,No,,
0003-4916,206,1991,209,1991,,,No,,
0003-4916,210,1991,245,1995,,,No,,
0003-4916,246,1996,321,2006,,,No,,
0003-4916,,,,,1,,No,,
,1,1838,9,1842,,,No,,
,13,1844,,,,,No,,
,1,1858,20,1867,,,No,,
,1,1868,20,1877,,,No,,
,1,1878,20,1887,,,No,,
,1,1888,20,1897,,,No,,
,1,1898,20,1907,,,No,,
,1,1908,13,1914,,,No,,
0077-8923,11,1898,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,13,1900,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,18,1908,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,39,1939,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,40,1940,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,41,1941,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,43,1942,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,44,1943,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,46,1945,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,49,1948,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,50,1950,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,51,1949,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,52,1949,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,53,1950,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,54,1951,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,55,1952,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,56,1953,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,57,1953,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,58,1954,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,59,1955,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,61,1955,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,64,1956,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,65,1957,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,70,1958,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,71,1957,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,73,1958,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,74,1959,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,75,1959,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,76,1959,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,77,1959,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,78,1959,109,1963,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,111,1963,193,1972,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,195,1972,219,1973,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,220,1973,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,221,1974,230,1974,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,232,1974,233,1974,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,235,1974,322,1979,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,325,1979,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,327,1979,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,329,1979,250,1980,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,356,1980,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,359,1981,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,361,1981,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,363,1981,370,1981,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,372,1981,374,1981,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,377,1981,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,380,1982,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,383,1982,384,1982,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,389,1982,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,391,1982,392,1982,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,396,1982,398,1982,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,400,1982,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,403,1983,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,406,1983,407,1983,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,409,1983,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,412,1983,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,413,1983,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,415,1983,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,417,1983,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,442,1985,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,444,1985,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,448,1985,449,1985,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,457,1985,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,460,1985,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,467,1986,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,471,1986,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,478,1986,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,495,1987,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,498,1987,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,501,1987,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,504,1987,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,507,1987,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,508,1987,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,515,1988,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,518,1988,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,522,1988,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,525,1988,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,529,1988,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,532,1988,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,534,1988,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,540,1988,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,551,1988,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,560,1989,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,563,1989,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,567,1989,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,568,1989,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,571,1989,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,579,1990,580,1990,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,582,1990,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,589,1990,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,593,1990,595,1990,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,599,1990,600,1990,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
0077-8923,616,1990,,,,,No,,dobivaju se samo pojedini volumeni; dio obrađivan kao knjige
